marca,supermercado,categoria,precio,supermercado_index,categoria_index,features,scaledFeatures,prediction,categoria_limpia
CHEF,CUGAT,ACEITES,3490.0,3.0,17.0,"[3490.0,3.0,17.0]","[0.5068563438130825,2.2394227749293085,2.707687240609129]",1,DESPENSA Y ABARROTES
ARUNA,CUGAT,ACEITES,2190.0,3.0,17.0,"[2190.0,3.0,17.0]","[0.31805598651881106,2.2394227749293085,2.707687240609129]",1,DESPENSA Y ABARROTES
NATURA,CUGAT,"ARROZ, LEGUMBRES Y SEMILLAS",3190.0,3.0,21.0,"[3190.0,3.0,21.0]","[0.46328703059132753,2.2394227749293085,3.3447901207524535]",1,DESPENSA Y ABARROTES
NATURA,CUGAT,ACEITES,2990.0,3.0,17.0,"[2990.0,3.0,17.0]","[0.43424082177682427,2.2394227749293085,2.707687240609129]",1,DESPENSA Y ABARROTES
SUPER CERDO,CUGAT,CARNICERIA,8990.0,3.0,10.0,"[8990.0,3.0,10.0]","[1.305627086211923,2.2394227749293085,1.5927572003583113]",2,CARNES Y FIAMBRERÍA
OTRA,CUGAT,CARNICERIA,3490.0,3.0,10.0,"[3490.0,3.0,10.0]","[0.5068563438130825,2.2394227749293085,1.5927572003583113]",2,CARNES Y FIAMBRERÍA
SUPER CERDO,CUGAT,CARNICERIA,10990.0,3.0,10.0,"[10990.0,3.0,10.0]","[1.596089174356956,2.2394227749293085,1.5927572003583113]",2,CARNES Y FIAMBRERÍA
SUPER CERDO,CUGAT,CARNICERIA,5490.0,3.0,10.0,"[5490.0,3.0,10.0]","[0.7973184319581155,2.2394227749293085,1.5927572003583113]",2,CARNES Y FIAMBRERÍA
SUPER CERDO,CUGAT,CARNICERIA,13490.0,3.0,10.0,"[13490.0,3.0,10.0]","[1.9591667845382472,2.2394227749293085,1.5927572003583113]",2,CARNES Y FIAMBRERÍA
OTRA,CUGAT,CARNICERIA,5690.0,3.0,10.0,"[5690.0,3.0,10.0]","[0.8263646407726187,2.2394227749293085,1.5927572003583113]",2,CARNES Y FIAMBRERÍA
OTRA,CUGAT,CARNICERIA,6290.0,3.0,10.0,"[6290.0,3.0,10.0]","[0.9135032672161286,2.2394227749293085,1.5927572003583113]",2,CARNES Y FIAMBRERÍA
OTRA,CUGAT,CARNICERIA,6490.0,3.0,10.0,"[6490.0,3.0,10.0]","[0.9425494760306319,2.2394227749293085,1.5927572003583113]",2,CARNES Y FIAMBRERÍA
SUPER CERDO,CUGAT,CARNICERIA,5290.0,3.0,10.0,"[5290.0,3.0,10.0]","[0.7682722231436122,2.2394227749293085,1.5927572003583113]",2,CARNES Y FIAMBRERÍA
OTRA,CUGAT,CARNICERIA,3290.0,3.0,10.0,"[3290.0,3.0,10.0]","[0.4778101349985792,2.2394227749293085,1.5927572003583113]",2,CARNES Y FIAMBRERÍA
OTRA,CUGAT,CARNICERIA,3290.0,3.0,10.0,"[3290.0,3.0,10.0]","[0.4778101349985792,2.2394227749293085,1.5927572003583113]",2,CARNES Y FIAMBRERÍA
OTRA,CUGAT,CARNICERIA,5290.0,3.0,10.0,"[5290.0,3.0,10.0]","[0.7682722231436122,2.2394227749293085,1.5927572003583113]",2,CARNES Y FIAMBRERÍA
SUPER CERDO,CUGAT,CARNICERIA,7990.0,3.0,10.0,"[7990.0,3.0,10.0]","[1.1603960421394066,2.2394227749293085,1.5927572003583113]",2,CARNES Y FIAMBRERÍA
OTRA,CUGAT,CARNICERIA,7690.0,3.0,10.0,"[7690.0,3.0,10.0]","[1.1168267289176517,2.2394227749293085,1.5927572003583113]",2,CARNES Y FIAMBRERÍA
OTRA,CUGAT,CARNICERIA,9290.0,3.0,10.0,"[9290.0,3.0,10.0]","[1.349196399433678,2.2394227749293085,1.5927572003583113]",2,CARNES Y FIAMBRERÍA
OTRA,CUGAT,CARNICERIA,8490.0,3.0,10.0,"[8490.0,3.0,10.0]","[1.233011564175665,2.2394227749293085,1.5927572003583113]",2,CARNES Y FIAMBRERÍA
OTRA,CUGAT,CARNICERIA,13990.0,3.0,10.0,"[13990.0,3.0,10.0]","[2.0317823065745055,2.2394227749293085,1.5927572003583113]",2,CARNES Y FIAMBRERÍA
OTRA,CUGAT,CARNICERIA,7990.0,3.0,10.0,"[7990.0,3.0,10.0]","[1.1603960421394066,2.2394227749293085,1.5927572003583113]",2,CARNES Y FIAMBRERÍA
OTRA,CUGAT,CARNICERIA,8990.0,3.0,10.0,"[8990.0,3.0,10.0]","[1.305627086211923,2.2394227749293085,1.5927572003583113]",2,CARNES Y FIAMBRERÍA
OTRA,CUGAT,CARNICERIA,7990.0,3.0,10.0,"[7990.0,3.0,10.0]","[1.1603960421394066,2.2394227749293085,1.5927572003583113]",2,CARNES Y FIAMBRERÍA
OTRA,CUGAT,CARNICERIA,2990.0,3.0,10.0,"[2990.0,3.0,10.0]","[0.43424082177682427,2.2394227749293085,1.5927572003583113]",2,CARNES Y FIAMBRERÍA
OTRA,CUGAT,CARNICERIA,14990.0,3.0,10.0,"[14990.0,3.0,10.0]","[2.177013350647022,2.2394227749293085,1.5927572003583113]",2,CARNES Y FIAMBRERÍA
OTRA,CUGAT,CARNICERIA,10000.0,3.0,10.0,"[10000.0,3.0,10.0]","[1.4523104407251648,2.2394227749293085,1.5927572003583113]",2,CARNES Y FIAMBRERÍA
OTRA,CUGAT,CARNICERIA,12990.0,3.0,10.0,"[12990.0,3.0,10.0]","[1.8865512625019891,2.2394227749293085,1.5927572003583113]",2,CARNES Y FIAMBRERÍA
SUPER POLLO,CUGAT,CARNICERIA,7990.0,3.0,10.0,"[7990.0,3.0,10.0]","[1.1603960421394066,2.2394227749293085,1.5927572003583113]",2,CARNES Y FIAMBRERÍA
OTRA,CUGAT,CARNICERIA,6490.0,3.0,10.0,"[6490.0,3.0,10.0]","[0.9425494760306319,2.2394227749293085,1.5927572003583113]",2,CARNES Y FIAMBRERÍA
OTRA,CUGAT,CARNICERIA,7490.0,3.0,10.0,"[7490.0,3.0,10.0]","[1.0877805201031483,2.2394227749293085,1.5927572003583113]",2,CARNES Y FIAMBRERÍA
OTRA,CUGAT,CARNICERIA,13490.0,3.0,10.0,"[13490.0,3.0,10.0]","[1.9591667845382472,2.2394227749293085,1.5927572003583113]",2,CARNES Y FIAMBRERÍA
OTRA,CUGAT,CARNICERIA,12990.0,3.0,10.0,"[12990.0,3.0,10.0]","[1.8865512625019891,2.2394227749293085,1.5927572003583113]",2,CARNES Y FIAMBRERÍA
OTRA,CUGAT,CARNICERIA,14990.0,3.0,10.0,"[14990.0,3.0,10.0]","[2.177013350647022,2.2394227749293085,1.5927572003583113]",2,CARNES Y FIAMBRERÍA
OTRA,CUGAT,CARNICERIA,12990.0,3.0,10.0,"[12990.0,3.0,10.0]","[1.8865512625019891,2.2394227749293085,1.5927572003583113]",2,CARNES Y FIAMBRERÍA
OTRA,CUGAT,CARNICERIA,16990.0,3.0,10.0,"[16990.0,3.0,10.0]","[2.467475438792055,2.2394227749293085,1.5927572003583113]",2,CARNES Y FIAMBRERÍA
OTRA,CUGAT,CARNICERIA,18290.0,3.0,10.0,"[18290.0,3.0,10.0]","[2.656275796086326,2.2394227749293085,1.5927572003583113]",2,CARNES Y FIAMBRERÍA
OTRA,CUGAT,CARNICERIA,14990.0,3.0,10.0,"[14990.0,3.0,10.0]","[2.177013350647022,2.2394227749293085,1.5927572003583113]",2,CARNES Y FIAMBRERÍA
OTRA,CUGAT,QUESOS,1990.0,3.0,26.0,"[1990.0,3.0,26.0]","[0.2890097777043078,2.2394227749293085,4.141168720931609]",1,LACTEOS Y FRESCOS
KRAFT,CUGAT,QUESOS,2590.0,3.0,26.0,"[2590.0,3.0,26.0]","[0.3761484041478177,2.2394227749293085,4.141168720931609]",1,LACTEOS Y FRESCOS
KRAFT,CUGAT,QUESOS,1190.0,3.0,26.0,"[1190.0,3.0,26.0]","[0.1728249424462946,2.2394227749293085,4.141168720931609]",1,LACTEOS Y FRESCOS
NATURA,CUGAT,QUESOS,1990.0,3.0,26.0,"[1990.0,3.0,26.0]","[0.2890097777043078,2.2394227749293085,4.141168720931609]",1,LACTEOS Y FRESCOS
KRAFT,CUGAT,QUESOS,2990.0,3.0,26.0,"[2990.0,3.0,26.0]","[0.43424082177682427,2.2394227749293085,4.141168720931609]",1,LACTEOS Y FRESCOS
KRAFT,CUGAT,QUESOS,2990.0,3.0,26.0,"[2990.0,3.0,26.0]","[0.43424082177682427,2.2394227749293085,4.141168720931609]",1,LACTEOS Y FRESCOS
OTRA,CUGAT,QUESOS,1998.0,3.0,26.0,"[1998.0,3.0,26.0]","[0.2901716260568879,2.2394227749293085,4.141168720931609]",1,LACTEOS Y FRESCOS
