nombre_producto,marca,supermercado,categoria,precio,precio_promedio_cat,dif_porcentual_promedio,prediction
Porotos Rojos Caja Drenado 230 g - Neto 380 g W...,NETO,Acuenta,Legumbres,1390.0,1999.5,-30.48,0
Lentejas 6mm Bolsa 1 Kg Acuenta,ACUENTA,Acuenta,Legumbres,1950.0,1999.5,-2.48,0
Lentejas Listas Para Servir Caja Drenado 230 g ...,GENÉRICA,Acuenta,Legumbres,1390.0,1999.5,-30.48,0
Porotos Blancos Caja Drenado 230 g - Neto 380 g...,NETO,Acuenta,Legumbres,1390.0,1999.5,-30.48,0
Porotos Negros Listos Para Servir Caja Drenado ...,GENÉRICA,Acuenta,Legumbres,1390.0,1999.5,-30.48,0
"Queso Gauda Laminado Soprole, 1/4 kg",SOPROLE,Cugat,Quesos,2090.0,2779.8947368421054,-24.82,0
"Queso fresco Tradicional La Vaquita envasado trozo, 400g.",OTRA,Cugat,Quesos,3490.0,2779.8947368421054,25.54,0
Queso gauda laminado La Vaquita 250g,OTRA,Cugat,Quesos,3590.0,2779.8947368421054,29.14,0
Queso Gauda Laminado La Vaquita 400g,OTRA,Cugat,Quesos,4790.0,2779.8947368421054,72.31,0
Queso mantecoso laminado La Vaquita 400g,OTRA,Cugat,Quesos,4990.0,2779.8947368421054,79.5,0
Queso mantecoso laminado La Vaquita 250g,OTRA,Cugat,Quesos,3990.0,2779.8947368421054,43.53,0
Queso Gauda Granulado La Vaquita 250g.,OTRA,Cugat,Quesos,3490.0,2779.8947368421054,25.54,0
"Queso fresco sin lactosa La Vaquita envasado trozo, 400g",OTRA,Cugat,Quesos,3590.0,2779.8947368421054,29.14,0
Queso Cheddar Untable Kraft Pote 200g,KRAFT,Cugat,Quesos,3290.0,2779.8947368421054,18.35,0
Queso Crema Natural La Vaquita 100g,NATURA,Cugat,Quesos,890.0,2779.8947368421054,-67.98,0
"Queso Parmesano rallado La Vaquita, 40g",OTRA,Cugat,Quesos,890.0,2779.8947368421054,-67.98,0
"Queso Cheddar Fundido Laminado Président, 120g",OTRA,Cugat,Quesos,1990.0,2779.8947368421054,-28.41,0
"Queso mantecoso laminado La Vaquita, 130g",OTRA,Cugat,Quesos,1998.0,2779.8947368421054,-28.13,0
"Queso granulado Mix Pizza Kraft, 200g",KRAFT,Cugat,Quesos,2990.0,2779.8947368421054,7.56,0
"Queso granulado DUO MIX Kraft, 200g",KRAFT,Cugat,Quesos,2990.0,2779.8947368421054,7.56,0
"Queso Cheddar natural laminado Kraft, 130g",NATURA,Cugat,Quesos,1990.0,2779.8947368421054,-28.41,0
Queso Gauda laminado Kraft 75g,KRAFT,Cugat,Quesos,1190.0,2779.8947368421054,-57.19,0
Queso Gauda laminado Kraft 200g,KRAFT,Cugat,Quesos,2590.0,2779.8947368421054,-6.83,0
Queso Gauda laminado La Vaquita 130g,OTRA,Cugat,Quesos,1990.0,2779.8947368421054,-28.41,0
"Longaniza Ahumada Chillán, 1/4 kg",OTRA,Cugat,Fiambrería Embutidos y Quesos,2749.0,2913.0,-5.63,0
"Salchicha Tradicional San Jorge, 1 kg.",SAN JORGE,Cugat,Fiambrería Embutidos y Quesos,4290.0,2913.0,47.27,0
"Chorizo La Preferida Carne Angus, 500g / 8 unid.",LA PREFERIDA,Cugat,Fiambrería Embutidos y Quesos,5990.0,2913.0,105.63,0
"Salchicha Sureña PF, 1 kg",PF,Cugat,Fiambrería Embutidos y Quesos,4990.0,2913.0,71.3,0
"Salchicha de Pollo Montina, 20 Unid.",MONTINA,Cugat,Fiambrería Embutidos y Quesos,4990.0,2913.0,71.3,0
"Queso Gauda Calo Laminado, 467g",CALO,Cugat,Fiambrería Embutidos y Quesos,5990.0,2913.0,105.63,0
"Queso Rallado Parmesano Colun, 80g",COLUN,Cugat,Fiambrería Embutidos y Quesos,1890.0,2913.0,-35.12,0
Salchicha Sureña San Jorge 250 Gr,SAN JORGE,Cugat,Fiambrería Embutidos y Quesos,1490.0,2913.0,-48.85,0
"Salchichas de Pollo San Jorge, 250g",SAN JORGE,Cugat,Fiambrería Embutidos y Quesos,1390.0,2913.0,-52.28,0
"Jamón Artesanal G2 PF, 1/4 Kg",PF,Cugat,Fiambrería Embutidos y Quesos,2499.0,2913.0,-14.21,0
"Jamón Colonial PF, 1/4 kg",PF,Cugat,Fiambrería Embutidos y Quesos,2999.0,2913.0,2.95,0
